"SA_GUID__1","householdsTotal","noHeating","noRenewableEnergyHouses","yearBuilt","mobHome","unoccupiedDwellings","oneParent","onePerson","noCar","noInternet","priWater","familyUnits"
"4c07d11d-fa49-851d-e053-ca3ca8c0ca7f",114,0,82,20,0,4,17,11,12,5,0,24
"4c07d11d-fa5e-851d-e053-ca3ca8c0ca7f",100,2,86,2,0,107,14,29,5,5,0,14
"4c07d11d-fa64-851d-e053-ca3ca8c0ca7f",171,2,94,36,0,8,13,30,13,10,0,9
"4c07d11d-fa8c-851d-e053-ca3ca8c0ca7f",73,1,37,16,1,5,8,10,0,5,50,11
"4c07d11d-faa9-851d-e053-ca3ca8c0ca7f",77,1,51,10,0,10,6,30,10,13,41,14
"4c07d11d-fab2-851d-e053-ca3ca8c0ca7f",80,0,49,19,0,13,7,16,3,11,80,21
"4c07d11d-fab7-851d-e053-ca3ca8c0ca7f",63,1,42,5,0,22,3,13,4,3,1,8
"4c07d11d-faba-851d-e053-ca3ca8c0ca7f",84,0,49,1,0,12,11,11,3,4,1,11
"4c07d11d-fac1-851d-e053-ca3ca8c0ca7f",77,2,37,7,0,10,3,10,1,1,4,18
"4c07d11d-fac3-851d-e053-ca3ca8c0ca7f",122,1,81,10,1,14,8,17,5,10,4,21
"4c07d11d-fac9-851d-e053-ca3ca8c0ca7f",80,1,58,23,0,22,8,15,3,13,40,13
"4c07d11d-fad6-851d-e053-ca3ca8c0ca7f",137,1,63,25,0,25,11,26,3,15,133,16
"4c07d11d-fadc-851d-e053-ca3ca8c0ca7f",71,0,50,26,0,29,8,17,4,15,5,13
"4c07d11d-fae9-851d-e053-ca3ca8c0ca7f",48,0,37,14,1,57,12,10,6,9,3,5
"4c07d11d-faeb-851d-e053-ca3ca8c0ca7f",66,2,47,7,0,37,5,9,4,7,26,12
"4c07d11d-fafd-851d-e053-ca3ca8c0ca7f",60,1,53,10,0,53,7,12,2,9,22,18
"4c07d11d-fb0a-851d-e053-ca3ca8c0ca7f",59,0,42,1,0,7,7,12,4,7,2,8
"4c07d11d-fb0c-851d-e053-ca3ca8c0ca7f",108,4,66,24,0,16,8,25,2,9,30,16
"4c07d11d-fb24-851d-e053-ca3ca8c0ca7f",264,0,160,21,0,40,15,40,6,16,54,31
"4c07d11d-fb25-851d-e053-ca3ca8c0ca7f",44,1,21,2,0,2,2,6,0,1,0,7
"4c07d11d-fb33-851d-e053-ca3ca8c0ca7f",77,0,47,2,0,7,7,12,0,3,7,14
"4c07d11d-fb36-851d-e053-ca3ca8c0ca7f",80,2,46,11,1,8,3,16,5,10,4,13
"4c07d11d-fb47-851d-e053-ca3ca8c0ca7f",114,1,85,21,0,27,10,35,5,27,14,11
"4c07d11d-fb52-851d-e053-ca3ca8c0ca7f",91,0,60,17,1,9,7,19,4,14,16,12
"4c07d11d-fb69-851d-e053-ca3ca8c0ca7f",77,3,41,11,3,21,7,23,6,3,13,5
"4c07d11d-fb6b-851d-e053-ca3ca8c0ca7f",65,0,37,10,0,40,7,30,7,18,7,6
"4c07d11d-fb85-851d-e053-ca3ca8c0ca7f",75,1,49,14,0,7,2,17,4,10,19,7
"4c07d11d-fb87-851d-e053-ca3ca8c0ca7f",88,1,40,12,0,3,3,17,3,14,64,15
"4c07d11d-fb90-851d-e053-ca3ca8c0ca7f",82,0,62,14,1,3,6,19,3,14,13,14
"4c07d11d-fb92-851d-e053-ca3ca8c0ca7f",71,0,42,10,0,10,3,8,0,7,12,9
"4c07d11d-fb95-851d-e053-ca3ca8c0ca7f",86,0,56,12,3,6,6,12,6,16,8,11
"4c07d11d-fb97-851d-e053-ca3ca8c0ca7f",171,1,106,47,0,22,14,31,7,22,165,32
"4c07d11d-fba9-851d-e053-ca3ca8c0ca7f",135,0,93,29,1,4,18,19,4,10,82,30
"4c07d11d-fbb4-851d-e053-ca3ca8c0ca7f",52,0,33,12,0,17,4,11,3,13,5,6
"4c07d11d-fbc3-851d-e053-ca3ca8c0ca7f",116,0,66,20,0,23,6,34,6,18,52,21
"4c07d11d-fbcc-851d-e053-ca3ca8c0ca7f",39,3,19,16,0,46,3,11,4,5,7,4
"4c07d11d-fbd9-851d-e053-ca3ca8c0ca7f",94,8,32,37,1,21,7,34,4,11,80,5
"4c07d11d-fbf4-851d-e053-ca3ca8c0ca7f",64,0,45,11,1,9,7,12,4,5,1,10
"4c07d11d-fc0c-851d-e053-ca3ca8c0ca7f",135,3,77,31,0,14,4,19,12,9,19,10
"4c07d11d-fc10-851d-e053-ca3ca8c0ca7f",97,3,58,22,0,40,6,26,0,16,53,14
"4c07d11d-fc4a-851d-e053-ca3ca8c0ca7f",69,3,28,26,0,18,3,23,2,9,37,14
"4c07d11d-fc4f-851d-e053-ca3ca8c0ca7f",66,4,44,21,0,17,4,16,2,5,43,12
"4c07d11d-fc53-851d-e053-ca3ca8c0ca7f",102,3,64,34,3,67,10,26,6,15,87,13
"4c07d11d-fc54-851d-e053-ca3ca8c0ca7f",67,2,30,22,0,14,6,18,0,8,43,14
"4c07d11d-fc56-851d-e053-ca3ca8c0ca7f",67,1,33,29,0,15,3,18,1,9,66,14
"4c07d11d-fc5b-851d-e053-ca3ca8c0ca7f",56,1,29,10,0,31,6,15,2,5,1,10
